Type,Model,State,NAMELSAD,COUNTYFP,GEOID,NAME,Data,Analysis,CSV Export,Notes,,,,,,,,,,,,,,,
Main,None,Georgia,Barrow County,13,13013,Barrow,,,,,,,Legend,,,,,,,,,,,,
Main,None,Georgia,Bartow County,15,13015,Bartow,,,,,,,R,feedlist in R,,,,,,,,,,,
Main,None,Georgia,Bibb County,21,13021,Bibb,,,,,,,zip,downloaded .zip,,,,,,,,,,,
Main,None,Georgia,Bulloch County,31,13031,Bulloch,,,,,,,?,no GTFS data found,,,,,,,,,,,
Extra,None,Georgia,Camden County,39,13039,Camden,,,,,,,county completed,,,,,,,,,,,,
Main,None,Georgia,Carroll County,45,13045,Carroll,,,,,,,successfully downloaded,,,,,,,,,,,,
Main,None,Georgia,Catoosa County,47,13047,Catoosa,,,,,,,,,,,,,,,,,,,
Main,None,Georgia,Chatham County,51,13051,Chatham,,,,,,,,,,,,,,,,,,,
Main,None,Georgia,Cherokee County,57,13057,Cherokee,,,,,,,,,,,,,,,,,,,
Main,None,Georgia,Clarke County,59,13059,Clarke,,,,,,,,,,,,,,,,,,,
Main,None,Georgia,Clayton County,63,13063,Clayton,R,,,portion in atlanta 2,,,,,,,,,,,,,,,
Main,None,Georgia,Cobb County,67,13067,Cobb,R,,,,,,,,,,,,,,,,,,
Main,None,Georgia,Columbia County,73,13073,Columbia,,,,,,,,,,,,,,,,,,,
Main,None,Georgia,Coweta County,77,13077,Coweta,,,,,,,,,,,,,,,,,,,
Main,None,Georgia,DeKalb County,89,13089,DeKalb,R,,,portion atlanta 2,,,,,,,,,,,,,,,
Main,None,Georgia,Dougherty County,95,13095,Dougherty,,,,,,,,,,,,,,,,,,,
Main,None,Georgia,Douglas County,97,13097,Douglas,,,,,,,,,,,,,,,,,,,
Extra,None,Georgia,Effingham County,103,13103,Effingham,,,,,,,,,,,,,,,,,,,
Main,None,Georgia,Fayette County,113,13113,Fayette,,,,,,,,,,,,,,,,,,,
Main,None,Georgia,Floyd County,115,13115,Floyd,,,,,,,,,,,,,,,,,,,
Main,None,Georgia,Forsyth County,117,13117,Forsyth,,,,,,,,,,,,,,,,,,,
Main,None,Georgia,Fulton County,121,13121,Fulton,R,,,atlanta,,,,,,,,,,,,,,,
Main,None,Georgia,Glynn County,127,13127,Glynn,,,,,,,,,,,,,,,,,,,
Extra,None,Georgia,Gordon County,129,13129,Gordon,,,,,,,,,,,,,,,,,,,
Main,None,Georgia,Gwinnett County,135,13135,Gwinnett,R,,,,,,,,,,,,,,,,,,
Main,None,Georgia,Hall County,139,13139,Hall,,,,,,,,,,,,,,,,,,,
Main,None,Georgia,Henry County,151,13151,Henry,,,,,,,,,,,,,,,,,,,
Main,None,Georgia,Houston County,153,13153,Houston,,,,,,,,,,,,,,,,,,,
Main,None,Georgia,Jackson County,157,13157,Jackson,,,,,,,,,,,,,,,,,,,
Extra,None,Georgia,Liberty County,179,13179,Liberty,,,,,,,,,,,,,,,,,,,
Main,None,Georgia,Lowndes County,185,13185,Lowndes,,,,,,,,,,,,,,,,,,,
Main,None,Georgia,Muscogee County,215,13215,Muscogee,,,,,,,,,,,,,,,,,,,
Main,None,Georgia,Newton County,217,13217,Newton,,,,,,,,,,,,,,,,,,,
Main,None,Georgia,Paulding County,223,13223,Paulding,,,,,,,,,,,,,,,,,,,
Main,None,Georgia,Richmond County,245,13245,Richmond,,,,,,,,,,,,,,,,,,,
Main,None,Georgia,Rockdale County,247,13247,Rockdale,,,,,,,,,,,,,,,,,,,
Main,None,Georgia,Spalding County,255,13255,Spalding,,,,,,,,,,,,,,,,,,,
Main,None,Georgia,Troup County,285,13285,Troup,,,,,,,,,,,,,,,,,,,
Main,None,Georgia,Walker County,295,13295,Walker,,,,,,,,,,,,,,,,,,,
Main,None,Georgia,Walton County,297,13297,Walton,,,,,,,,,,,,,,,,,,,
Main,None,Georgia,Whitfield County,313,13313,Whitfield,,,,,,,,,,,,,,,,,,,
